"cycle_length_bin","cycle_length_bin_num","cycleday_from_ovu","state","n_cycles","prob_sum","prob"
"(18,21]",2,-10,"Rise",5879,0.147292612360335,2.50540248954474e-05
"(18,21]",2,-10,"hP",5879,0.39937166992679,6.79319050734462e-05
"(18,21]",2,-10,"Ep",5879,0.0292363164774758,4.97300841596799e-06
"(18,21]",2,-10,"lP",5879,0.00540625985285105,9.19588340338672e-07
"(18,21]",2,-9,"hM",5879,1668.54251898023,0.283814002207897
"(18,21]",2,-9,"lM",5879,2355.13256965866,0.400600879343199
"(18,21]",2,-9,"lE",5879,1145.89584100899,0.194913393605883
"(18,21]",2,-9,"hE",5879,121.98440485822,0.0207491758561354
"(18,21]",2,-9,"O",5879,2.79636676868481,0.000475653473156117
"(18,21]",2,-9,"Rise",5879,0.287590269003631,4.89182291212163e-05
"(18,21]",2,-9,"hP",5879,1.21423719516639,0.00020653804986671
"(18,21]",2,-9,"Ep",5879,0.131297664706358,2.23333329998908e-05
"(18,21]",2,-9,"lP",5879,0.0151735963310467,2.58098253632364e-06
"(18,21]",2,-8,"hM",5879,1219.07229102113,0.207360484950013
"(18,21]",2,-8,"lM",5879,2422.35572385373,0.412035333195056
"(18,21]",2,-8,"lE",5879,1776.1376324248,0.302115603406158
"(18,21]",2,-8,"hE",5879,207.964983834978,0.0353742105519609
"(18,21]",2,-8,"O",5879,8.02470337146493,0.00136497761038696
"(18,21]",2,-8,"Rise",5879,0.822692448274361,0.000139937480570567
"(18,21]",2,-8,"hP",5879,3.13970413770955,0.000534054114255749
"(18,21]",2,-8,"Ep",5879,0.440645211202478,7.49524087774244e-05
"(18,21]",2,-8,"lP",5879,0.0416236967058391,7.08006407651626e-06
"(18,21]",2,-7,"hM",5879,761.373527673944,0.12950731887633
"(18,21]",2,-7,"lM",5879,2130.82385155883,0.362446649355134
"(18,21]",2,-7,"lE",5879,2560.16199664283,0.43547576061283
"(18,21]",2,-7,"hE",5879,316.077733271915,0.0537638600564578
"(18,21]",2,-7,"O",5879,19.0935219871218,0.00324774995528522
"(18,21]",2,-7,"Rise",5879,1.8824163944932,0.000320193297243272
"(18,21]",2,-7,"hP",5879,9.37344242248994,0.00159439401641264
"(18,21]",2,-7,"Ep",5879,1.0662268162573,0.000181361935066729
"(18,21]",2,-7,"lP",5879,0.147283232116726,2.50524293445698e-05
"(18,21]",2,-6,"hM",5879,384.85346098428,0.0654624019364314
"(18,21]",2,-6,"lM",5879,1660.77379113145,0.282492565254542
"(18,21]",2,-6,"lE",5879,3270.03652214105,0.55622325601991
"(18,21]",2,-6,"hE",5879,472.386851863717,0.080351565209001
"(18,21]",2,-6,"O",5879,40.3864830270298,0.0068696177967392
"(18,21]",2,-6,"Rise",5879,4.8536386642687,0.000825589158746164
"(18,21]",2,-6,"hP",5879,23.1755312178897,0.00394208729680042
"(18,21]",2,-6,"Ep",5879,3.08119987639138,0.000524102717535531
"(18,21]",2,-6,"lP",5879,0.452521093929179,7.69724602703145e-05
"(18,21]",2,-5,"hM",5879,129.980295491812,0.0221092525075373
"(18,21]",2,-5,"lM",5879,1127.15204371438,0.191725130755976
"(18,21]",2,-5,"lE",5879,3781.52468533077,0.643225835232313
"(18,21]",2,-5,"hE",5879,683.902525916224,0.116329737356051
"(18,21]",2,-5,"O",5879,83.4910756673188,0.014201577762769
"(18,21]",2,-5,"Rise",5879,10.2822503625005,0.00174897947992864
"(18,21]",2,-5,"hP",5879,52.567770607342,0.0089416177253516
"(18,21]",2,-5,"Ep",5879,7.96193617133,0.00135430110075353
"(18,21]",2,-5,"lP",5879,1.13741673833621,0.000193471124057868
"(18,21]",2,-4,"hM",5879,25.2400760414342,0.00429326008529244
"(18,21]",2,-4,"lM",5879,595.663445204506,0.101320538391649
"(18,21]",2,-4,"lE",5879,4025.13396100176,0.684663031298139
"(18,21]",2,-4,"hE",5879,930.730573227037,0.158314436677503
"(18,21]",2,-4,"O",5879,147.791494978452,0.0251388833098235
"(18,21]",2,-4,"Rise",5879,20.9280250746066,0.00355979334488971
"(18,21]",2,-4,"hP",5879,113.428190265298,0.0192937898052897
"(18,21]",2,-4,"Ep",5879,18.678913748348,0.00317722635624221
"(18,21]",2,-4,"lP",5879,2.40532045857475,0.000409137686438977
