"menarche_year","pc_of_users"
8,0.294795025333947
9,1.29894058037771
10,3.68493781667434
11,13.6987563334869
12,24.2653155228006
13,24.5601105481345
14,18.1022570244127
15,7.99631506218333
16,4.28374021188392
17,1.31736526946108
18,0.497466605251036
