"age","pc_of_users"
13,0.0381466192558685
14,0.0538139807359573
15,0.172340976280977
16,0.63623111401752
17,0.608302339205188
18,1.16892140434054
19,1.6743641094808
20,2.17231372869579
21,2.69955450198226
22,3.3044508930396
23,3.88141850928461
24,4.50879415811774
25,5.46245963951445
26,6.09460361575455
27,6.68383264533181
28,6.98491846160134
29,7.19268129861991
30,7.12251876677429
31,6.55576899497282
32,5.86640508984891
33,5.15933025435621
34,4.57555074181551
35,3.79490742632934
36,3.08238307380008
37,2.48429857903843
38,2.00950940722878
39,1.54970640726966
40,1.20706802359641
41,0.927099085843517
42,0.656666802904593
43,0.500674377733273
44,0.370567158485579
45,0.256127300717974
46,0.160079562948734
47,0.110352719990191
48,0.0708437214751843
49,0.0626694459203553
50,0.0347406711080231
51,0.0217980681462105
52,0.0190733096279342
53,0.00681189629569079
54,0.00817427555482895
55,0.00204356888870724
56,0.00136237925913816
57,0.000681189629569079
58,0.00136237925913816
59,0.00204356888870724
60,0.00204356888870724
61,0.00272475851827632
62,0.00136237925913816
63,0.00476832740698356
64,0.00408713777741448
65,0.00272475851827632
66,0.0034059481478454
67,0
68,0.00204356888870724
69,0.00272475851827632
70,0.00272475851827632
71,0.00544951703655264
72,0.0034059481478454
73,0.0034059481478454
74,0.00136237925913816
