"cycleday","no_bleeding","bleeding_1","bleeding_2","bleeding_3"
-28,0.148822535831875,0.140634390651085,0.134516636101651,0.133633633633634
-27,0.135376129211689,0.130199636177061,0.121727019498607,0.114100932994063
-26,0.120020653857651,0.112352173558437,0.102996639283047,0.097815349544073
-25,0.103827273552294,0.0913794380067381,0.0862502121880836,0.0806043569922699
-24,0.0864949336708314,0.0765089245795647,0.066621962764279,0.0720472440944882
-23,0.0720071832010048,0.0631177087429546,0.0492312376312986,0.054967702245463
-22,0.0619737232884075,0.0494435862677722,0.038674154025671,0.0442163620017981
-21,0.0512396722547911,0.0402013525976023,0.0241676152532727,0.0291348973607039
-20,0.0402570109095777,0.026972951830791,0.0159065394330621,0.0178818443804035
-19,0.031760348411884,0.0183145604799577,0.00293755977592573,0.0165286896945476
-18,0.0222625848315661,0.00442167037668763,-0.00329833064081847,0.00846412556053817
-17,0.0177341797111037,0.00252658443215658,-0.00394101526817168,0.012800875273523
-16,0.0271957459868096,0.0174201091192518,0.0181877022653722,0.0267350796651364
-15,0.0589424287725872,0.0570290830198007,0.0614531863676676,0.0880109346524343
-14,0.121752078116252,0.12086310490419,0.136201521386707,0.16555612506407
-13,0.209358652019696,0.210091631855545,0.231392310563643,0.248610058124842
-12,0.309639519276564,0.312631296171928,0.332477887130933,0.331704545454546
-11,0.397611073480344,0.400362397524296,0.411698418627817,0.402205323193916
-10,0.46723714509884,0.470826360119619,0.474026794742164,0.458718861209964
-9,0.519080327932954,0.523759747337824,0.519863980495316,0.496955414012739
-8,0.55939942630569,0.564424252765691,0.561949481865285,0.515482954545455
-7,0.592585677452006,0.5947715824214,0.581813389562467,0.546262047408179
-6,0.61680659323731,0.618174654135777,0.595255813953488,0.564084692267228
-5,0.630225120511138,0.626918767507003,0.608611410118407,0.558462753356146
-4,0.633992509254975,0.622716728624535,0.597087180879957,0.56119066560594
-3,0.623053791694037,0.610506468729506,0.572185340739737,0.547540983606557
-2,0.579720617280311,0.546779595132016,0.513458110516934,0.499783900594273
-1,0.423871253979972,0.376180251020717,0.377149447784147,0.369032082653616
