"cycle_length_bin","cycleday_from_ovu","cycle_length_bin_num","state","prob","prob_sum","n_cycles"
"(39,42]",25,9,"hM",1.85256712717424e-29,9.22578429332771e-27,498
"(42,45]",25,10,"hM",1.43577865182913e-19,4.22118923637763e-17,294
"(33,36]",26,7,"hM",0,0,2048
"(36,39]",26,8,"hM",4.95373869262793e-34,4.68623680322602e-31,946
"(39,42]",26,9,"hM",1.34463953868866e-31,6.69630490266951e-29,498
"(42,45]",26,10,"hM",1.1180272320159e-20,3.28700006212676e-18,294
"(33,36]",27,7,"hM",0,0,2048
"(36,39]",27,8,"hM",0,0,946
"(39,42]",27,9,"hM",1.24582463339973e-33,6.20420667433064e-31,498
"(42,45]",27,10,"hM",1.45014308864132e-22,4.2634206806055e-20,294
"(33,36]",28,7,"hM",0,0,2048
"(36,39]",28,8,"hM",0,0,946
"(39,42]",28,9,"hM",2.93362816309437e-35,1.46094682522099e-32,498
"(42,45]",28,10,"hM",3.37209989430339e-25,9.91397368925197e-23,294
"(33,36]",29,7,"hM",0,0,2048
"(36,39]",29,8,"hM",0,0,946
"(39,42]",29,9,"hM",6.55836549766824e-37,3.26606601783878e-34,498
"(42,45]",29,10,"hM",1.25154897589553e-26,3.67955398913285e-24,294
"(36,39]",30,8,"hM",0,0,946
"(39,42]",30,9,"hM",2.11309487801555e-39,1.05232124925174e-36,498
"(42,45]",30,10,"hM",3.82768920896446e-28,1.12534062743555e-25,294
"(36,39]",31,8,"hM",0,0,946
"(39,42]",31,9,"hM",2.5267513087072e-40,1.25832215173618e-37,498
"(42,45]",31,10,"hM",2.77443692417708e-32,8.1568445570806e-30,294
"(39,42]",32,9,"hM",0,0,498
"(42,45]",32,10,"hM",1.90085582558661e-36,5.58851612722464e-34,294
"(39,42]",33,9,"hM",0,0,498
"(42,45]",33,10,"hM",1.57302580480215e-37,4.62469586611832e-35,294
"(39,42]",34,9,"hM",0,0,498
"(42,45]",34,10,"hM",5.40400177285159e-39,1.58877652121837e-36,294
"(39,42]",35,9,"hM",0,0,498
"(42,45]",35,10,"hM",0,0,294
"(39,42]",36,9,"hM",0,0,498
"(42,45]",36,10,"hM",0,0,294
"(42,45]",37,10,"hM",0,0,294
"(42,45]",38,10,"hM",0,0,294
"(42,45]",39,10,"hM",0,0,294
"(42,45]",-40,10,"lM",0,0,294
"(42,45]",-39,10,"lM",3.16198201979429e-05,0.0092962271381952,294
"(42,45]",-38,10,"lM",0.00219508120215877,0.645353873434678,294
"(42,45]",-37,10,"lM",0.00520854043737093,1.53131088858705,294
"(39,42]",-36,9,"lM",0,0,498
"(42,45]",-36,10,"lM",0.00840453761976805,2.47093406021181,294
"(39,42]",-35,9,"lM",0.0017388859106021,0.865965183479845,498
"(42,45]",-35,10,"lM",0.0101807793789114,2.99314913739996,294
"(36,39]",-34,8,"lM",0,0,946
"(39,42]",-34,9,"lM",0.000473229189517483,0.235668136379707,498
"(42,45]",-34,10,"lM",0.0105550387727998,3.10318139920314,294
"(36,39]",-33,8,"lM",7.93511739662436e-06,0.00750662105720665,946
"(39,42]",-33,9,"lM",0.0024914461946292,1.24074020492534,498
"(42,45]",-33,10,"lM",0.0204351784364841,6.00794246032632,294
"(36,39]",-32,8,"lM",1.34823711958653e-05,0.0127543231512885,946
"(39,42]",-32,9,"lM",0.00665709809476019,3.31523485119058,498
"(42,45]",-32,10,"lM",0.0325629536612477,9.57350837640682,294
"(36,39]",-31,8,"lM",0.000633577953470929,0.599364743983499,946
"(39,42]",-31,9,"lM",0.010534218542621,5.24604083422525,498
"(42,45]",-31,10,"lM",0.0511944955980116,15.0511817058154,294
"(33,36]",-30,7,"lM",0,0,2048
"(36,39]",-30,8,"lM",0.0033754790764546,3.19320320632605,946
"(39,42]",-30,9,"lM",0.025641835703678,12.7696341804316,498
"(42,45]",-30,10,"lM",0.0973061828589531,28.6080177605322,294
"(33,36]",-29,7,"lM",0.000685664550317119,1.40424099904946,2048
"(36,39]",-29,8,"lM",0.00382611901895434,3.61950859193081,946
"(39,42]",-29,9,"lM",0.0481072138851936,23.9573925148264,498
"(42,45]",-29,10,"lM",0.16157770606177,47.5038455821604,294
"(33,36]",-28,7,"lM",0.000946219251664826,1.93785702740956,2048
"(36,39]",-28,8,"lM",0.00827131573829896,7.82466468843082,946
"(39,42]",-28,9,"lM",0.0707437256960526,35.2303753966342,498
"(42,45]",-28,10,"lM",0.210982553826825,62.0288708250866,294
"(27,30]",-27,5,"lM",0,0,12460
"(30,33]",-27,6,"lM",0,0,5319
"(33,36]",-27,7,"lM",0.00135593468541412,2.77695423572812,2048
"(36,39]",-27,8,"lM",0.0207215322560348,19.6025695142089,946
"(39,42]",-27,9,"lM",0.112982187136684,56.2651291940685,498
"(42,45]",-27,10,"lM",0.259628537846297,76.3307901268113,294
"(27,30]",-26,5,"lM",7.95661982228827e-05,0.991394829857118,12460
"(30,33]",-26,6,"lM",0.000188768922259822,1.00406189749999,5319
"(33,36]",-26,7,"lM",0.00459123615981007,9.40285165529103,2048
"(36,39]",-26,8,"lM",0.0411319754880759,38.9108488117198,946
"(39,42]",-26,9,"lM",0.171794958052877,85.5538891103329,498
"(42,45]",-26,10,"lM",0.270635533951743,79.5668469818123,294
"(27,30]",-25,5,"lM",2.45145474860179e-05,0.305451261675783,12460
"(30,33]",-25,6,"lM",0.000912836427530959,4.85537695803717,5319
"(33,36]",-25,7,"lM",0.0106475202256185,21.8061214220668,2048
"(36,39]",-25,8,"lM",0.0757594572136736,71.6684465241352,946
"(39,42]",-25,9,"lM",0.247599348981362,123.304475792718,498
"(42,45]",-25,10,"lM",0.251013040690962,73.7978339631427,294
"(27,30]",-24,5,"lM",0.000249228794457456,3.10539077893991,12460
"(30,33]",-24,6,"lM",0.00170216121389761,9.05379549672138,5319
"(33,36]",-24,7,"lM",0.0171290142699187,35.0802212247935,2048
"(36,39]",-24,8,"lM",0.124340939203483,117.626528486495,946
"(39,42]",-24,9,"lM",0.291285384155033,145.060121309206,498
"(42,45]",-24,10,"lM",0.218894838291746,64.3550824577732,294
"(24,27]",-23,4,"lM",0,0,13464
"(27,30]",-23,5,"lM",0.000605197308816675,7.54075846785576,12460
"(30,33]",-23,6,"lM",0.00269952270841208,14.3587612860438,5319
"(33,36]",-23,7,"lM",0.0349611589647804,71.6004535598702,2048
"(36,39]",-23,8,"lM",0.193292995626338,182.855173862516,946
"(39,42]",-23,9,"lM",0.290585420048718,144.711539184262,498
"(42,45]",-23,10,"lM",0.18696673639069,54.9682204988628,294
"(24,27]",-22,4,"lM",8.30344288058612e-07,0.0111797554944211,13464
"(27,30]",-22,5,"lM",0.0009791114664806,12.1997288723483,12460
"(30,33]",-22,6,"lM",0.00635310233011499,33.7921512938817,5319
"(33,36]",-22,7,"lM",0.0649242369909838,132.964837357535,2048
"(36,39]",-22,8,"lM",0.27092634039898,256.296318017435,946
"(39,42]",-22,9,"lM",0.281336945594463,140.105798906043,498
"(42,45]",-22,10,"lM",0.153797875786377,45.2165754811948,294
"(24,27]",-21,4,"lM",0.000193897077887958,2.61063025668346,13464
