"","tracking_freq","fraction_of_cycles"
"1",0.0125,0
"2",0.0375,0
"3",0.0625,0
"4",0.0875,0
"5",0.1125,0
"6",0.1375,0
"7",0.1625,0
"8",0.1875,0
"9",0.2125,0
"10",0.2375,0
"11",0.2625,0
"12",0.2875,0
"13",0.3125,0
"14",0.3375,0.0025
"15",0.3625,0
"16",0.3875,0.0075
"17",0.4125,0.0075
"18",0.4375,0.015
"19",0.4625,0.0225
"20",0.4875,0.0475
"21",0.5125,0.025
"22",0.5375,0.02
"23",0.5625,0.03
"24",0.5875,0.0375
"25",0.6125,0.0275
"26",0.6375,0.035
"27",0.6625,0.045
"28",0.6875,0.07
"29",0.7125,0.0675
"30",0.7375,0.065
"31",0.7625,0.045
"32",0.7875,0.0475
"33",0.8125,0.0275
"34",0.8375,0.045
"35",0.8625,0.035
"36",0.8875,0.055
"37",0.9125,0.015
"38",0.9375,0.0325
"39",0.9625,0.0425
"40",0.9875,0.13
