"","tracking_freq","fraction_of_cycles"
"1",0.0125,0
"2",0.0375,0
"3",0.0625,0
"4",0.0875,0
"5",0.1125,0
"6",0.1375,0
"7",0.1625,0
"8",0.1875,0
"9",0.2125,0.0001000200040008
"10",0.2375,0
"11",0.2625,0
"12",0.2875,0.0001000200040008
"13",0.3125,0.000700140028005601
"14",0.3375,0.001500300060012
"15",0.3625,0.00370074014802961
"16",0.3875,0.00540108021604321
"17",0.4125,0.00740148029605921
"18",0.4375,0.0131026205241048
"19",0.4625,0.0152030406081216
"20",0.4875,0.0328065613122624
"21",0.5125,0.02250450090018
"22",0.5375,0.0307061412282457
"23",0.5625,0.0453090618123625
"24",0.5875,0.0593118623724745
"25",0.6125,0.0468093618723745
"26",0.6375,0.0517103420684137
"27",0.6625,0.0589117823564713
"28",0.6875,0.0665133026605321
"29",0.7125,0.0590118023604721
"30",0.7375,0.0593118623724745
"31",0.7625,0.0361072214442889
"32",0.7875,0.0433086617323465
"33",0.8125,0.0279055811162232
"34",0.8375,0.0325065013002601
"35",0.8625,0.0321064212842569
"36",0.8875,0.0289057811562312
"37",0.9125,0.0231046209241848
"38",0.9375,0.0254050810162032
"39",0.9625,0.0440088017603521
"40",0.9875,0.126525305061012
