"","tracking_freq","fraction_of_cycles"
"1",0.0125,0
"2",0.0375,0
"3",0.0625,0
"4",0.0875,0
"5",0.1125,0
"6",0.1375,0
"7",0.1625,0
"8",0.1875,0
"9",0.2125,0
"10",0.2375,0
"11",0.2625,0
"12",0.2875,0.000110784911095109
"13",0.3125,0
"14",0.3375,0.000221569822190218
"15",0.3625,0.000387747188832881
"16",0.3875,0.000941671744308425
"17",0.4125,0.00144020384423642
"18",0.4375,0.00232648313299729
"19",0.4625,0.00293580014402038
"20",0.4875,0.00792112114330028
"21",0.5125,0.00570542292139811
"22",0.5375,0.0101368193652025
"23",0.5625,0.0134603666980557
"24",0.5875,0.0226555143189498
"25",0.6125,0.0230432615077826
"26",0.6375,0.0262560239295408
"27",0.6625,0.0347864620838642
"28",0.6875,0.0445909267157813
"29",0.7125,0.0489115382484906
"30",0.7375,0.0509056666482025
"31",0.7625,0.0385531490610979
"32",0.7875,0.0593807123469783
"33",0.8125,0.0420428737605938
"34",0.8375,0.0494100703484185
"35",0.8625,0.0538414667922229
"36",0.8875,0.0562787348363153
"37",0.9125,0.0362266659281006
"38",0.9375,0.0499086024483465
"39",0.9625,0.0821470115770232
"40",0.9875,0.235473328532654
