"duration","cycle_length","estimated_ovulation","estimated_luteal_phase"
1,0,0,0.000311115535865399
2,0,0,0.00135646373637314
3,0,0,0.00253870277266166
4,0,0,0.00348449400169247
5,0,4.97784857384638e-05,0.00568719199561949
6,0,0.000199113942953855,0.00877345811140425
7,0,0.00064712031460003,0.0155557767932699
8,0,0.0014062422221116,0.0316217830653591
9,0,0.00401961272338095,0.0562994673702026
10,0,0.00801433620389268,0.100104534820051
11,8.71123500423117e-05,0.0197745034596048,0.154823535268057
12,0.000211558564388471,0.0425357160635173,0.200694409876052
13,0.000236447807257703,0.0748792871720842,0.188361790034347
14,0.000323560157300015,0.108790880581413,0.125454228682363
15,0.00070934342177311,0.127308477276121,0.0605430832794066
16,0.000846234257553885,0.125192891632237,0.0241923440688934
17,0.00100801433620389,0.110806909253821,0.00919657524018119
18,0.00131912987206929,0.0893150480362387,0.00408183583055403
19,0.00126935138633083,0.0698143262481955,0.00228981034396934
20,0.00231469958683857,0.0514336203892678,0.00164269002936931
21,0.00403205734481557,0.0368734133107671,0.00112001592911544
22,0.00803922544676191,0.0275523918562397,0.000846234257553885
23,0.0189780476877893,0.0211060779531087,0.000634675693165414
24,0.0397854547264672,0.0163024540793469,0.000385783264473095
25,0.0712703469560456,0.0122330628702275,0.000311115535865399
26,0.102780128428493,0.00950769077604659,0.000385783264473095
27,0.128577828662452,0.00739210513216188,0.000348449400169247
28,0.130531634227687,0.00594852904574643,0.000323560157300015
29,0.112350042311713,0.00440539598785405,0.000286226292996167
30,0.0899621683508388,0.00434317288068097,9.95569714769277e-05
31,0.0668898402110608,0.003272935437304,0.000136890835780776
32,0.0504007168101946,0.00297426452287321,0.00012444621434616
33,0.0370476380108517,0.00216536412962318,9.95569714769277e-05
34,0.0275399472348051,0.00181691472945393,6.22231071730798e-05
35,0.0206331823385933,0.00158046692219623,0.000149335457215392
36,0.0157673353576584,0.00120712827915775,8.71123500423117e-05
37,0.0116730549056698,0.00112001592911544,0.000136890835780776
38,0.00903479516153119,0.000896012743292349,3.73338643038479e-05
39,0.00776544377520036,0.000871123500423117,0.000149335457215392
40,0.00603564139578874,0.000833789636119269,4.97784857384638e-05
41,0.00535118721688486,0.000560007964557718,0.000112001592911544
42,0.0040569465876848,0.000485340235950022,4.97784857384638e-05
43,0.00337249240878092,0.000510229478819254,4.97784857384638e-05
44,0.00293693065856937,0.000435561750211559,6.22231071730798e-05
45,0.00231469958683857,0.000385783264473095,4.97784857384638e-05
46,0.00194136094380009,0.000311115535865399,8.71123500423117e-05
47,0.00170491313654239,0.000398227885907711,1.2444621434616e-05
48,0.00153068843645776,0.000336004778734631,3.73338643038479e-05
49,0.00131912987206929,0.000410672507342327,1.2444621434616e-05
50,0.00113246055055005,0.000298670914430783,1.2444621434616e-05
51,0.000920901986161581,0.000199113942953855,6.22231071730798e-05
52,0.00064712031460003,0.000261337050126935,3.73338643038479e-05
53,0.000696898800338494,0.000136890835780776,0
54,0.000721788043207726,0.000199113942953855,1.2444621434616e-05
55,0.000547563343123102,0.000161780078650007,2.48892428692319e-05
56,0.000597341828861566,9.95569714769277e-05,3.73338643038479e-05
57,0.000547563343123102,3.73338643038479e-05,3.73338643038479e-05
58,0.000460450993080791,8.71123500423117e-05,0
59,0.000373338643038479,4.97784857384638e-05,1.2444621434616e-05
60,0.000336004778734631,0.000186669321519239,0
61,0.000435561750211559,2.48892428692319e-05,1.2444621434616e-05
62,0.000323560157300015,7.46677286076958e-05,1.2444621434616e-05
63,0.000311115535865399,0.000112001592911544,1.2444621434616e-05
