"tracking_freq","with_sex_intercourse","without_sex_intercourse"
0,0.00141824011301773,0.00641956027851102
0.025,0.0087205211618532,0.0227018738099482
0.05,0.00974419252747495,0.021556028982801
0.075,0.00981041385570924,0.0383504361283459
0.1,0.0100132166734268,0.0310368339600114
0.125,0.00983110802078246,0.0302418156972254
0.15,0.0127696794611791,0.045134969203652
0.175,0.0140140885875818,0.0461478394459204
0.2,0.0145135077713488,0.0426508907882564
0.225,0.0175803830351994,0.0458055006210196
0.25,0.0201395614492538,0.0456640382966804
0.275,0.0212280745321049,0.0390266260386871
0.3,0.0225345661537273,0.0351109489009792
0.325,0.0216378190005546,0.0294920653782278
0.35,0.0212832589723002,0.024518250054463
0.375,0.0225511214857859,0.0238250846652011
0.4,0.0203244293239078,0.0197707744496408
0.425,0.0218516587063112,0.0196972140409845
0.45,0.0198912314683752,0.0170688440547629
0.475,0.0224379933833856,0.0183787851781435
0.5,0.0148197814144324,0.0118290795612405
0.525,0.0211149464297047,0.0163360692146861
0.55,0.0192097036319639,0.0149101289853473
0.575,0.017573484980175,0.0128928762402709
0.6,0.0165084252844068,0.0120554192801831
0.625,0.0181749953783031,0.0131701423959757
0.65,0.0163139001327186,0.0118545427796215
0.675,0.0181584400462446,0.0130371678110969
0.7,0.016610516498768,0.0122704420131786
0.725,0.0176590208624776,0.0128900469937841
0.75,0.0185392126835917,0.0136199925873742
0.775,0.0183005399797473,0.0125760006337512
0.8,0.0190841590305198,0.0131163867127268
0.825,0.01942906178174,0.0132352150651717
0.85,0.025357250269714,0.0165426042082212
0.875,0.021041827046446,0.0133342386922091
0.9,0.0276363676497775,0.0166840665325604
0.925,0.0419967385995845,0.0238675233625029
0.95,0.0266044186181264,0.0155269047194661
0.975,0.0503861531202662,0.02306967585323
1,0.233185990878012,0.10458309638394
