"cycleday","no_bleeding","bleeding_1","bleeding_2","bleeding_3"
-25,0.0551417295472598,0.0516475826972011,0.0534100781928759,0.0436650485436894
-24,0.0445782391072454,0.0462226526891523,0.0433303571428572,0.0316733870967744
-23,0.0373638885084236,0.0352149496514331,0.0337943475646423,0.0350968188105118
-22,0.0327405119152692,0.0274533488837055,0.0274986779481758,0.0237742130750607
-21,0.0228211009174312,0.0229454627403847,0.0238049713193117,0.0155319735391401
-20,0.0174591625985731,0.0156654280209194,0.0132411067193676,0.0151004119464469
-19,0.0113332238282961,0.00715396578538109,0.000957556935817797,0.00315292949354522
-18,0.00547833708990734,0.000112247443252725,-0.00202948303715673,-0.00561679174484051
-17,0.00805772246572041,0.00246726479146464,0.00249901999215992,-0.00198942042318297
-16,0.0161616708681267,0.0123782660332542,0.0163248444790047,0.00834092980856889
-15,0.0440544343101106,0.0403898007033998,0.0474914965986395,0.0411279683377309
-14,0.0900029854770985,0.0858606081708449,0.0965496024233245,0.0990202702702703
-13,0.150133050520633,0.144333879653477,0.15559666541776,0.163454784899034
-12,0.211031140986948,0.21215472846442,0.224579236006051,0.225445235975067
-11,0.262562155831347,0.262091602129719,0.276799763965382,0.271999076638966
-10,0.296201871297792,0.295825723975998,0.311338827054794,0.301039579158317
-9,0.318246322767765,0.321317196317196,0.328044638524988,0.321538461538462
-8,0.337047538978906,0.335090664875756,0.341614906832298,0.334244627054362
-7,0.350951086956522,0.354268292682927,0.35287140052356,0.341805959302326
-6,0.358566089693155,0.357571299230421,0.355997757847534,0.349289772727273
-5,0.36763576591046,0.361571246819339,0.362414383561644,0.343624772313297
-4,0.367464848143982,0.362396921385377,0.365154349859682,0.343546065259117
-3,0.360140298324979,0.350951405152225,0.341873706004141,0.326026315789474
-2,0.335321720231823,0.301087948874011,0.276020408163265,0.247083333333333
-1,0.240964943342776,0.193702168367347,0.173649049881235,0.183313397129186
