"height","pc_of_users"
140,0.0286123032904149
141,0
142,0
143,0.00953743443013829
144,0.0381497377205532
145,0.0476871721506915
146,0.0858369098712446
147,0.0762994754411063
148,0.162136385312351
149,0.0953743443013829
150,0.715307582260372
151,0.400572246065808
152,0.553171196948021
153,1.11587982832618
154,0.944206008583691
155,1.52598950882213
156,1.65951359084406
157,3.05197901764425
158,3.90081068192656
159,2.78493085360038
160,7.4964234620887
161,2.7658559847401
162,4.97854077253219
163,6.40915593705293
164,5.36957558416786
165,7.66809728183119
166,3.52885073915117
167,4.99761564139247
168,7.35336194563662
169,5.01669051025274
170,7.27706247019552
171,2.54649499284692
172,3.83404864091559
173,3.31902718168813
174,2.25083452551264
175,2.3175965665236
176,1.44969003338102
177,0.877443967572723
178,1.0968049594659
179,0.467334287076776
180,0.858369098712446
181,0.219360991893181
182,0.190748688602766
183,0.238435860753457
184,0.0858369098712446
185,0.0858369098712446
186,0.0476871721506915
187,0.0286123032904149
188,0.0190748688602766
189,0
190,0.00953743443013829
